,Name,Description,paired-end option,Use FASTQ quality,Gapped,Multi-threaded,License,Reference,Year
27,HIVE-hexagon,"Uses a hash table and bloom matrix to create and filter potential positions on the genome. For higher efficiency uses cross-similarity between short reads and avoids realigning non unique redundant sequences. It is faster than Bowtie and BWA and allows indels and divergent sensitive alignments on viruses, bacteria, and more conservative eukaryotic alignments.",Yes,Yes,Yes,Yes,"Proprietary, freeware for academic and noncommercial users registered to HIVE deployment instance",[45],2014
28,IMOS,Improved Meta-aligner and Minimap2 On Spark. A long read distributed aligner on Apache Spark platform with linear scalability w.r.t. single node execution.,,Yes,Yes,Yes,Free,,
29,Isaac,"Fully uses all the computing power available on one server node; thus, it scales well over a broad range of hardware architectures, and alignment performance improves with hardware abilities",Yes,Yes,Yes,Yes,"Free, GPL",,
30,LAST,"Uses adaptative seeds and copes more efficiently with repeat-rich sequences (e.g. genomes). For example: it can align reads to genomes without repeat-masking, without becoming overwhelmed by repetitive hits.",Yes,Yes,Yes,Yes,"Free, GPL",[46],2011
31,MAQ,Ungapped alignment that takes into account quality scores for each base.,,,,,"Free, GPL",,
32,"mrFAST, mrsFAST",Gapped (mrFAST) and ungapped (mrsFAST) alignment software that implements cache obliviousness to minimize main/cache memory transfers. They are designed for the Illumina sequencing platform and they can return all possible map locations for improved structural variation discovery.,Yes,"Yes, for structural variation",Yes,No,"Free, BSD",,
33,MOM,MOM or maximum oligonucleotide mapping is a query matching tool that captures a maximal length match within the short read.,,,,Yes,,,
34,MOSAIK,Fast gapped aligner and reference-guided assembler. Aligns reads using a banded Smith-Waterman algorithm seeded by results from a k-mer hashing scheme. Supports reads ranging in size from very short to very long.,,,,Yes,,,
35,MPscan,"Fast aligner based on a filtration strategy (no indexing, use q-grams and Backward Nondeterministic DAWG Matching)",,,,,,[47],2009
36,Novoalign & NovoalignCS,"Gapped alignment of single end and paired end Illumina GA I & II, ABI Colour space & ION Torrent reads. High sensitivity and specificity, using base qualities at all steps in the alignment. Includes adapter trimming, base quality calibration, Bi-Seq alignment, and options for reporting multiple alignments per read. Use of ambiguous IUPAC codes in reference for common SNPs can improve SNP recall and remove allelic bias.",Yes,Yes,Yes,Multi-threading and MPI versions available with paid license,"Proprietary, freeware single threaded version for academic and noncommercial use",,
37,NextGENe,"Developed for use by biologists performing analysis of next generation sequencing data from Roche Genome Sequencer FLX, Illumina GA/HiSeq, Life Technologies Applied BioSystems’ SOLiD System, PacBio and Ion Torrent platforms.",Yes,Yes,Yes,Yes,"Proprietary, commercial",,
38,NextGenMap,"Flexible and fast read mapping program (twice as fast as BWA), achieves a mapping sensitivity comparable to Stampy. Internally uses a memory efficient index structure (hash table) to store positions of all 13-mers present in the reference genome. Mapping regions where pairwise alignments are required are dynamically determined for each read. Uses fast SIMD instructions (SSE) to accelerate alignment calculations on CPU. If available, alignments are computed on GPU (using OpenCL/CUDA) further reducing runtime 20-50%.",Yes,No,Yes,"Yes, POSIX Threads, OpenCL/CUDA, SSE",Free,[48],2013
39,Omixon Variant Toolkit,"Includes highly sensitive and highly accurate tools for detecting SNPs and indels. It offers a solution to map NGS short reads with a moderate distance (up to 30% sequence divergence) from reference genomes. It poses no restrictions on the size of the reference, which, combined with its high sensitivity, makes the Variant Toolkit well-suited for targeted sequencing projects and diagnostics.",Yes,Yes,Yes,Yes,"Proprietary, commercial",,
40,PALMapper,"Efficiently computes both spliced and unspliced alignments at high accuracy. Relying on a machine learning strategy combined with a fast mapping based on a banded Smith-Waterman-like algorithm, it aligns around 7 million reads per hour on one CPU. It refines the originally proposed QPALMA approach.",,,,Yes,"Free, GPL",,
41,Partek Flow,"For use by biologists and bioinformaticians. It supports ungapped, gapped and splice-junction alignment from single and paired-end reads from Illumina, Life technologies Solid TM, Roche 454 and Ion Torrent raw data (with or without quality information). It integrates powerful quality control on FASTQ/Qual level and on aligned data. Additional functionality include trimming and filtering of raw reads, SNP and InDel detection, mRNA and microRNA quantification and fusion gene detection.",Yes,Yes,Yes,"Multiprocessor-core, client-server installation possible","Proprietary, commercial, free trial version",,
42,PASS,"Indexes the genome, then extends seeds using pre-computed alignments of words. Works with base space, color space (SOLID), and can align genomic and spliced RNA-seq reads.",Yes,Yes,Yes,Yes,"Proprietary, freeware for academic and noncommercial use",,
43,PerM,"Indexes the genome with periodic seeds to quickly find alignments with full sensitivity up to four mismatches. It can map Illumina and SOLiD reads. Unlike most mapping programs, speed increases for longer read lengths.",,,,Yes,"Free, GPL",[49],
44,PRIMEX,Indexes the genome with a k-mer lookup table with full sensitivity up to an adjustable number of mismatches. It is best for mapping 15-60 bp sequences to a genome.,No,No,Yes,"No, multiple processes per search",,[1],2003
45,QPalma,"Can use quality scores, intron lengths, and computation splice site predictions to perform and performs an unbiased alignment. Can be trained to the specifics of a RNA-seq experiment and genome. Useful for splice site/intron discovery and for gene model building. (See PALMapper for a faster version).",,,,"Yes, client-server","Free, GPL 2",,
46,RazerS,No read length limit. Hamming or edit distance mapping with configurable error rates. Configurable and predictable sensitivity (runtime/sensitivity tradeoff). Supports paired-end read mapping.,,,,,"Free, LGPL",,
47,"REAL, cREAL","REAL is an efficient, accurate, and sensitive tool for aligning short reads obtained from next-generation sequencing. The programme can handle an enormous amount of single-end reads generated by the next-generation Illumina/Solexa Genome Analyzer. cREAL is a simple extension of REAL for aligning short reads obtained from next-generation sequencing to a genome with circular structure.",,Yes,,Yes,"Free, GPL",,
48,RMAP,Can map reads with or without error probability information (quality scores) and supports paired-end reads or bisulfite-treated read mapping. There are no limitations on read length or number of mismatches.,Yes,Yes,Yes,,"Free, GPL 3",,
49,rNA,A randomized Numerical Aligner for Accurate alignment of NGS reads,Yes,Low quality bases trimming,Yes,Multithreading and MPI-enabled,"Free, GPL 3",,
50,RTG Investigator,"Extremely fast, tolerant to high indel and substitution counts. Includes full read alignment. Product includes comprehensive pipelines for variant detection and metagenomic analysis with any combination of Illumina, Complete Genomics and Roche 454 data.",Yes,"Yes, for variant calling",Yes,Yes,"Proprietary, freeware for individual investigator use",,
51,Segemehl,"Can handle insertions, deletions, mismatches; uses enhanced suffix arrays",Yes,No,Yes,Yes,"Proprietary, freeware for noncommercial use",[50],2009
52,SeqMap,Up to 5 mixed substitutions and insertions-deletions; various tuning options and input-output formats,,,,,"Proprietary, freeware for academic and noncommercial use",,
53,Shrec,Short read error correction with a suffix tree data structure,,,,"Yes, Java",,,
54,SHRiMP,Indexes the reference genome as of version 2. Uses masks to generate possible keys. Can map ABI SOLiD color space reads.,Yes,Yes,Yes,"Yes, OpenMP","Free, [[BSD licenses| style=""background: #ddfd; color: black; vertical-align: middle; text-align: center; "" class=""free table-free""|Free, BSD]] derivative",[51] [52],2009-2011
55,SLIDER,"Slider is an application for the Illumina Sequence Analyzer output that uses the ""probability"" files instead of the sequence files as an input for alignment to a reference sequence or a set of reference sequences.",Yes,Yes,No,No,,[53][54],2009-2010
56,"SOAP, SOAP2, SOAP3, SOAP3-dp","SOAP: robust with a small (1-3) number of gaps and mismatches. Speed improvement over BLAT, uses a 12 letter hash table. SOAP2: using bidirectional BWT to build the index of reference, and it is much faster than the first version. SOAP3: GPU-accelerated version that could find all 4-mismatch alignments in tens of seconds per one million reads. SOAP3-dp, also GPU accelerated, supports arbitrary number of mismatches and gaps according to affine gap penalty scores.",Yes,No,"Yes, SOAP3-dp","Yes, POSIX Threads; SOAP3, SOAP3-dp need GPU with CUDA support","Free, GPL",[55][56],
57,SOCS,For ABI SOLiD technologies. Significant increase in time to map reads with mismatches (or color errors). Uses an iterative version of the Rabin-Karp string search algorithm.,,,,Yes,"Free, GPL",,
58,SparkBWA,"Integrates the Burrows-Wheeler Aligner—BWA on an Apache Spark framework running atop Hadoop. Version 0.2 of October 2016, supports the algorithms BWA-MEM, BWA-backtrack, and BWA-ALN. All of them work with single-reads and paired-end reads.",Yes,Low quality bases trimming,Yes,Yes,"Free, GPL 3",[57],2016
59,"SSAHA, SSAHA2",Fast for a small number of variants,,,,,"Proprietary, freeware for academic and noncommercial use",,
60,Stampy,"For Illumina reads. High specificity, and sensitive for reads with indels, structural variants, or many SNPs. Slow, but speed increased dramatically by using BWA for first alignment pass.",Yes,Yes,Yes,No,"Proprietary, freeware for academic and noncommercial use",[58],2010
61,SToRM,"For Illumina or ABI SOLiD reads, with SAM native output. Highly sensitive for reads with many errors, indels (full from 0 to 15, extended support otherwise). Uses spaced seeds (single hit) and a very fast SSE-SSE2-AVX2-AVX-512 banded alignment filter. For fixed-length reads only, authors recommend SHRiMP2 otherwise.",No,Yes,Yes,"Yes, OpenMP",Free,[59],2010
62,"Subread, Subjunc",Superfast and accurate read aligners. Subread can be used to map both gDNA-seq and RNA-seq reads. Subjunc detects exon-exon junctions and maps RNA-seq reads. They employ a novel mapping paradigm named seed-and-vote.,Yes,Yes,Yes,Yes,"Free, GPL 3",,
63,Taipan,De-novo assembler for Illumina reads,,,,,"Proprietary, freeware for academic and noncommercial use",,
64,UGENE,"Visual interface both for Bowtie and BWA, and an embedded aligner",Yes,Yes,Yes,Yes,"Free, GPL",,
65,VelociMapper,FPGA-accelerated reference sequence alignment mapping tool from TimeLogic. Faster than Burrows-Wheeler transform-based algorithms like BWA and Bowtie. Supports up to 7 mismatches and/or indels with no performance penalty. Produces sensitive Smith-Waterman gapped alignments.,Yes,Yes,Yes,Yes,"Proprietary, commercial",,
66,XpressAlign,"FPGA based sliding window short read aligner which exploits the embarrassingly parallel property of short read alignment. Performance scales linearly with number of transistors on a chip (i.e. performance guaranteed to double with each iteration of Moore's Law without modification to algorithm). Low power consumption is useful for datacentre equipment. Predictable runtime. Better price/performance than software sliding window aligners on current hardware, but not better than software BWT-based aligners currently. Can manage large numbers (>2) of mismatches. Will find all hit positions for all seeds. Single-FPGA experimental version, needs work to develop it into a multi-FPGA production version.",,,,,"Proprietary, freeware for academic and noncommercial use",,
67,ZOOM,"100% sensitivity for a reads between 15-240 bp with practical mismatches. Very fast. Support insertions and deletions. Works with Illumina & SOLiD instruments, not 454.",,,,"Yes (GUI), no (CLI)","Proprietary, commercial",[60],
