,Name,View 3D,Model builder,Min,MD,MC,REM,QM,Imp,GPU,Comments,License,Website
17,MAPS[4],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Building, visualizing, and analysis tools in one user interface, with access to multiple simulation engines","Proprietary, trial available",Scienomics
18,Materials Studio,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"Environment that brings materials simulation technology to desktop computing, solving key problems in R&D processes","Proprietary, trial available",Dassault Systèmes BIOVIA(formerly Accelrys)
19,MBN Explorer[5] + MBN Studio,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,"Standard and reactive CHARMM force fields; molecular modeler (carbon nanomaterials, biomolecules, nanocrystals); explicit library of examples","Proprietary, free trial available",MBN Research Center
20,MDynaMix,No,No,No,Yes,No,No,No,No,No,Parallel MD,Free open source GNU GPL,Stockholm University
21,ms2,Yes,Yes,Yes,Yes,No,No,No,No,No,direct on the fly computation of large number of thermophysical properties. Main application of ms2 is on fluids.,Free open source,ms-2.de
22,MOE,Yes,Yes,Yes,Yes,No,No,I,Yes,No,Molecular Operating Environment (MOE),Proprietary,Chemical Computing Group
23,Orac,No,No,Yes,Yes,No,Yes,No,Yes,No,Molecular dynamics simulation program to explore free energy surfaces in biomolecular systems at the atomic level,Free open source,Orac download page
24,NAMD + VMD,Yes,Yes,Yes,Yes,No,Yes,I,Yes,Yes,"Fast, parallel MD, CUDA","Proprietary, free academic use, source code",Beckman Institute
25,NWChem,No,No,Yes,Yes,No,No,Yes,No,No,"High-performance computational chemistry software, includes quantum mechanics, molecular dynamics and combined QM-MM methods","Free open source, Educational Community License version 2.0",NWChem
26,Protein Local Optimization Program,No,Yes,Yes,Yes,Yes,No,No,No,No,"Helix, loop, and side chain optimizing, fast energy minimizing",Proprietary,PLOP wiki
27,Q,No,No,No,Yes,No,No,No,No,No,"(I) Free energy perturbation (FEP) simulations, (II) empirical valence bond (EVB), calculations of reaction free energies, (III) linear interaction energy (LIE) calculations of receptor-ligand binding affinities",Free open source GNU GPLv2 or later,Q
28,SAMSON,Yes,Yes,Yes,Yes,No,No,Yes,No,No,"Computational nanoscience (life sciences, materials, etc.). Modular architecture, modules termed SAMSON Elements","Proprietary, gratis",SAMSON Connect
29,Scigress,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,"MM, DFT, semiempirical methods, parallel MD, conformational analysis, Linear scaling SCF, docking protein-ligand, Batch processing, virtual screening, automated builders (molecular dynamics, proteins, crystals)",Proprietary,SCIGRESS.com
30,Spartan,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,"Small molecule (< 2,000 a.m.u.) MM and QM tools to determine conformation, structure, property, spectra, reactivity, and selectivity.","Proprietary, free trial available","Wavefunction, Inc."
31,TeraChem,No,No,Yes,Yes,No,No,Yes,No,Yes,"High performance GPU-accelerated ab initio molecular dynamics and TD/DFT software package for very large molecular or even nanoscale systems. Runs on NVIDIA GPUs and 64-bit Linux, has heavily optimized CUDA code.","Proprietary, trial licenses available",PetaChem LLC
32,TINKER,I,Yes,Yes,Yes,Yes,I,I,Yes,Yes,Software tools for molecular design-Tinker-OpenMM[6] Software tools for molecular design-Tinker-HP[7],"Proprietary, gratis",Washington University
33,Tremolo-X,I,No,Yes,Yes,No,No,No,No,No,"Fast, parallel MD",Proprietary,Tremolo-X
34,UCSF Chimera,Yes,Yes,Yes,No,No,No,No,No,No,"Visually appealing viewer, amino acid rotamers and other building, includes Antechamber and MMTK, Ambertools plugins in development.","Proprietary, free academic use",University of California
35,YASARA,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,"Molecular graphics, modeling, simulation",Proprietary,YASARA.org
