,License,Software,Description,Name,Type,Software - #,Contact
112,Freeware,,,,,,
113,GPL,,,,,,
114,Open Source,,,,,,
115,Open Source,,,,,,
116,,,,,,,
117,GPLv3,,,,,,
118,open-source (AGPLv3),Advanced Simulation Library (ASL),,,,,
119,open-source (BSD-2-Clause),APMonitor,,,,,
120,closed-source,Apros,,,,,
121,open-source (GPLv2),ASCEND,,,,,
122,closed-source,Aspen Custom Modeler (ACM),,,,,
123,closed-source,Aspen HYSYS,,,,,
124,closed-source,Aspen Plus,,,,,
125,closed-source,ASSETT,,,,,
126,closed-source,BatchColumn,,,,,
127,closed-source,BATCHES,,,,,
128,closed-source,BatchReactor,,,,,
129,open-source (BSD-3-Clause),BioSTEAM,,,,,
130,closed-source,CADSIM Plus,,,,,
131,closed-source,ChromWorks,,,,,
132,closed-source,CHEMCAD,,,,,
133,closed-source,CHEMPRO,,,,,
134,closed-source,Cycad Process,,,,,
135,closed-source,Cycle-Tempo,,,,,
136,open-source (Coco License 3.4),COCO simulator + ChemSep,,,,,
137,closed-source,D-SPICE,,,,,
138,closed-source,Design II for Windows,,,,,
139,closed-source,Distillation expert trainer,,,,,
140,closed-source,Dymola,,,,,
141,closed-source,DynoChem,,,,,
142,closed-source,DYNSIM,,,,,
143,open-source (BSD-3-Clause),Dyssol[1],,,,,
144,"open-source (GPLv3), freemium",DWSIM,,,,,
145,"closed-source (UI), open-source (library)[28]",EMSO,,,,,
146,closed-source,EQ-COMP,,,,,
147,closed-source,FlowTran,,,,,
148,closed-source,GAMS,,,,,
149,closed-source,gPROMS,,,,,
150,closed-source,HSC Sim,,,,,
151,closed-source,HYD-PREDIC,,,,,
152,closed-source,HYDROFLO,,,,,
153,closed-source,Indiss Plus®,,,,,
154,closed-source,ICAS,,,,,
155,closed-source,IDEAS,,,,,
156,closed-source,iiSE Simulator,,,,,
157,closed-source,Inosim,,,,,
158,closed-source,INVIDES,,,,,
159,closed-source,ITHACA,,,,,
160,closed-source,JADE,,,,,
161,closed-source[2],JModelica.org,,,,,
162,closed-source,K-Spice,,,,,
163,closed-source,LedaFlow,,,,,
164,closed-source,LIBPF,,,,,
165,closed-source,METSIM,,,,,
166,closed-source,Mimic Simulation Software,,,,,
167,closed-source,Mobatec Modeller,,,,,
168,closed-source,NAPCON ProsDS,,,,,
169,closed-source,OLGA,,,,,
170,closed-source,OLI Analyzer,,,,,
171,closed-source,Omegaland,,,,,
172,closed-source,OptiRamp,,,,,
173,open-source (OSMC-PL 1.2),OpenModelica,,,,,
174,closed-source,PD-PLUS,,,,,
175,closed-source,PIPE-FLO Professional,,,,,
176,closed-source,PIPEFLO,,,,,
177,closed-source,PIPESIM,,,,,
178,closed-source,PEL Suite,,,,,
179,closed-source,Petro-SIM,,,,,
180,closed-source,PETROX,,,,,
181,closed-source,Power Plant Simulator & Designer,,,,,
182,closed-source,Process Studio,,,,,
183,closed-source,Prode Properties,,,,,
184,closed-source,Prode Process Interface,,,,,
185,closed-source,ProMax,,,,,
186,closed-source,ProPhyPlus,,,,,
187,closed-source,ProSec,,,,,
188,closed-source,ProSim DAC,,,,,
189,closed-source,ProSim HEX,,,,,
190,closed-source,ProSimPlus,,,,,
191,closed-source,ProSimulator,,,,,
192,closed-source,PRO/II,,,,,
193,closed-source,ROMeo,,,,,
194,closed-source,Reaction Lab,,,,,
195,closed-source,RecoVR,,,,,
196,closed-source,REX,,,,,
197,closed-source,SimCentral,,,,,
198,closed-source,SimCreate,,,,,
199,closed-source,Simulis Thermodynamics,,,,,
200,closed-source,SolidSim (Now in Aspen Plus[4][5]),,,,,
201,closed-source,SPEEDUP,,,,,
202,closed-source,SuperPro Designer,,,,,
203,closed-source,SysCAD,,,,,
204,closed-source,UniSim Design Suite,,,,,
205,closed-source,UniSim Competency Suite,,,,,
206,closed-source,Usim Pac,,,,,
207,closed-source,Virtuoso,,,,,
208,closed-source,VMG Symmetry,,,,,
209,closed-source,Wolfram SystemModeler,,,,,
210,closed-source,XPSIM,,,,,
211,,,,,,,
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,Software,,,,,
228,,AIDA,,,,,
229,,Algebrator,,,,,
230,,Archim,,,,,
231,,Baudline,,,,,
232,,D3js,,,,,
233,,DADiSP,,,,,
234,,DAP,,,,,
235,,Datacopia,,,,,
236,,DataGraph,,,,,
237,,DataScene,,,,,
238,,EditGrid,,,,,
239,,EJS,,,,,
240,,Epi Info,,,,,
241,,EViews,,,,,
242,,Fityk,,,,,
243,,FlexPro,,,,,
244,,FreeMat,,,,,
245,,FusionCharts,,,,,
246,,GeoGebra,,,,,
247,,Gephi,,,,,
248,,ggplot2,,,,,
249,,Gnumeric,,,,,
250,,GNU Octave,,,,,
251,,Gnuplot,,,,,
252,,GrADS,,,,,
253,,GraphPad Prism,,,,,
254,,Grace,,,,,
255,,Graphviz,,,,,
256,,gretl,,,,,
257,,HippoDraw,,,,,
258,,IGOR Pro,,,,,
259,,ILNumerics,,,,,
260,,Ipe,,,,,
261,,JFreeChart,,,,,
262,,JMP,,,,,
263,,KChart,,,,,
264,,Kig,,,,,
265,,LabPlot,,,,,
266,,LabVIEW,,,,,
267,,LiSiCA,,,,,
268,,MagicPlot,,,,,
269,,Maple,,,,,
270,,MathCad,,,,,
271,,Mathematica,,,,,
272,,MATLAB,,,,,
273,,Maxima,,,,,
274,,MayaVi,,,,,
275,,MedCalc,,,,,
276,,Microsoft Excel,,,,,
277,,NCSS (statistical software),,,,,
278,,Nucalc,,,,,
279,,Numbers (iWork),,,,,
280,,OpenDX,,,,,
281,,OpenOffice.org Calc,,,,,
282,,OpenPlaG,,,,,
283,,Orange,,,,,
284,,Origin,,,,,
285,,ParaView,,,,,
286,,PDL,,,,,
287,,PGPLOT,,,,,
288,,ploticus,,,,,
289,,Plotly,,,,,
290,,plotutils,,,,,
291,,PLplot,,,,,
292,,PSPP,,,,,
293,,QtiPlot,,,,,
294,,R,,,,,
295,,RAWGraphs,,,,,
296,,ROOT,,,,,
297,,RRDtool,,,,,
298,,S-PLUS,,,,,
299,,S,,,,,
300,,SAS System,,,,,
301,,Scilab,,,,,
302,,"SciPy, NumPy, matplotlib modules for Python",,,,,
303,,SOCR,,,,,
304,,Sonic Visualiser,,,,,
305,,SPSS,,,,,
306,,Stata,,,,,
307,,Statgraphics,,,,,
308,,Statistical Lab,,,,,
309,,Systat,,,,,
310,,SymPy,,,,,
311,,Sysquake,,,,,
312,,SciDAVis,,,,,
313,,SigmaPlot,,,,,
314,,TAChart,,,,,
315,,Tableau,,,,,
316,,Tecplot,,,,,
317,,Teechart,,,,,
318,,think-cell chart,,,,,
319,,Veusz,,,,,
320,,Visifire,,,,,
321,,VisIt,,,,,
322,,Webix,,,,,
323,,World Programming System (WPS Analytics),,,,,
324,,XGraph,,,,,
325,,Zoho Office Suite,,,,,
326,,,"The Unix program which spawns all other processes. As of 2016, for major Linux distributions, it has been replaced by systemd.[2]",,,,
327,,,Works in cooperation with the remote nfsd to handle client NFS requests.,,,,
328,,,"Time-based job scheduler, runs jobs in the background.",,,,
329,,,Dynamically configure TCP/IP information for clients.,,,,
330,,,"Provides a network interface for the finger protocol, as used by the finger command.",,,,
331,,,Services FTP requests from a remote system.,,,,
332,,,Web server daemon.,,,,
333,,,"Listens for network connection requests. If a request is accepted, it can launch a background daemon to handle the request, was known as the super server for this reason. Some systems use the replacement command xinetd.",,,,
334,,,The line printer daemon that manages printer spooling.,,,,
335,,,"Processes NFS operation requests from client systems. Historically each nfsd daemon handled one request at a time, so it was normal to start multiple copies.",,,,
336,,,Network Time Protocol daemon that manages clock synchronization across the network. xntpd implements the version 3 standard of NTP.,,,,
337,,,Provides information to allow ONC RPC clients to contact ONC RPC servers,,,,
338,,,Listens for secure shell requests from clients.,,,,
339,,,SMTP daemon.,,,,
340,,,Copies process regions to swap space in order to reclaim physical pages of memory for the kernel. Also called sched.,,,,
341,,,System logger process that collects various system messages.,,,,
342,,,Periodically keeps the file systems synchronized with system memory.,,,,
343,,,"Replacement of init, the Unix program which spawns all other processes.",,,,
344,,,Serve X11 fonts to remote clients.,,,,
345,,,"Releases pages of memory for use by other processes. Also known as the ""page stealing daemon""",,,,
346,,,Find the server for an NIS domain and store the information in a file.,,,,
347,,,,,,,
348,,,,,,,
349,,,,,,,
350,,,,,,,
351,,,,,,,
352,,,,,,,
353,,,,,,,
354,,,,,,,
355,,,,,,,
356,,,,,,,
357,,,,Axigen,,,
358,,,,Bynari,,,
359,,,,Citadel/UX,,,
360,,,,EGroupware,,,
361,,,,Feng Office Community Edition,,,
362,,,,Group-Office,,,
363,,,,Horde,,,
364,,,,Jumper 2.0,,,
365,,,,Kolab,,,
366,,,,OpenGroupware,,,
367,,,,Open-Xchange,,,
368,,,,PhpGroupWare,,,
369,,,,Simple Groupware,,,
370,,,,Tine 2.0,,,
371,,,,Tonido Workspace,,,
372,,,,Twproject,,,
373,,,,Wrike,,,
374,,,,Zarafa,,,
375,,,,Kopano,,,
376,,,,Zentyal,,,
377,,,,Zimbra,,,
378,,,,Name,,,
379,,,"A project that merged JBoss Portal and eXo Portal to produce GateIn Portal;[21] used in JBoss Enterprise Portal Platform (JBoss EPP) Subprojects: GateIn Portal – both an enterprise portal and also a web portal framework to build upon; a merge of JBoss Portal 2.7 and eXo Portal 2.5 that produced GateIn Portal 3.0[22] GateIn Portlet Container – an implementation of the JSR 286 Java Portlet Specification 2.0[23] eXo JCR – an implementation of the JSR 170 Java Content Repository (JCR) API[24] JBoss Portlet Bridge – an implementation of the JSR 301 and JSR 329 specifications; for description, see JBoss Portlet Bridge in this table",,,,
380,,,"A non-final draft implementation of the JSR 301 and JSR 329 specifications that supports JavaServer Faces (JSF) within a JSR 286 portlet, and also supports other web frameworks such as Seam and RichFaces;[25] used in JBoss Enterprise Portal Platform",,,,
381,,,A project that produces a user interface component framework for integrating Ajax capabilities into applications using JavaServer Faces (JSF);[26] a Java software component library for the development of web-based user interfaces,,,,
382,,,"To support SOA and ESB programming models in Java, a lightweight service delivery framework to define the contract, policies, configuration, composition, and management of services, with the goal of making the runtime managed automatically[27] Components: SwitchYard Core – provides the base capabilities required to define, register, and communicate with services SwitchYard Components – plug-ins to provide functionality such as connectivity, routing, translation, and orchestration SwitchYard Test – supports repeatable, self-contained tests during development SwitchYard Tools – a command-line and graphical toolset that supports the development, deployment, and management of the services",,,,
383,,,"JBoss Enterprise Service Bus (ESB) is an implementation of Enterprise Application Integration (EAI), enterprise service bus (ESB) software, and business integration software; JBossESB part of a Service-Oriented Infrastructure (SOI) and a Service-Oriented Architecture (SOA)[28]",,,,
384,,,The reference implementation of JSR 299 Java Contexts and Dependency Injection (CDI) for the Java EE platform[29],,,,
385,,,A web application framework development platform for building rich Internet applications[14] Technologies include: Asynchronous JavaScript and XML (AJAX) JavaServer Faces (JSF) Java Persistence (JPA) Enterprise Java Beans (EJB) Business Process Management (BPM) Associated tools[30],,,,
386,,,A framework that implements the OSGi specification for a module system and service platform that provides a dynamic component model for the JBoss Application Server[31],,,,
387,,,"Enterprise Java Beans is a managed, server-side component architecture for modular construction of enterprise applications[32]",,,,
388,,,"JBoss-specific extensions to the Spring Framework[33] to support the Spring Deployer, for situations when the Spring Framework generic implementation does not integrate correctly with the JBoss Application Server, and for access directly to the underlying JBoss Microcontainer",,,,
389,,,A project that implements the JAX-RS specification by providing various frameworks for building RESTful web services and RESTful Java applications;[34] a Java API for RESTful web services over the HTTP protocol that implements JAX-RS,,,,
390,,,"A Ruby application platform, built on the JBoss Application Server, including Ruby on Rails and support for services such as messaging, scheduling, and daemons[35]",,,,
391,,,"A framework for building rich web applications using the Google Web Toolkit (GWT)[36][37] Includes: ErraiBus message bus for message exchange between client and server components ErraiWorkspaces to provide a UI environment in which to deploy a console and tooling similar to an Eclipse workspace Contexts and Dependency Injection (CDI) integration Java Message Service (JMS) integration Portals integration Tools to create, diagnose and monitor applications",,,,
392,,,An engine for the ColdFusion Markup Language (CFML) that compiles code written in CFML into Java bytecode and executes it on a servlet engine for the purpose of building web applications[38],,,,
393,,,"The process of researching an integration knowledge solution for Drools and jBPM has simply used the ""droolsjbpm"" group name. This name permeates GitHub accounts and Maven POMs. As scopes broadened and new projects were spun KIE, an acronym for Knowledge Is Everything, was chosen as the new group name. The KIE name is also used for the shared aspects of the system; such as the unified build, deploy and utilization.",,,,
394,,,"A Business Rule Management System (BRMS) and reasoning engine used in JBoss Rules and JBoss Enterprise BRMS; a Business Logic integration platform for Rules, Workflow and Event Processing[39] Subprojects: Drools Guvnor (Business Rules Manager) Drools Expert (rule engine) jBPM 5 (process/workflow engine) Drools Fusion (event processing/temporal reasoning) Drools Planner (automated planning)",,,,
395,,,"A project that includes an object-relational mapping (ORM) library that provides a framework for mapping an object-oriented domain model to a relational database for the purpose of persistent storage, and additional related subprojects that enable the use of POJO-style domain models[12] Key features: Mapping from Java classes to database tables Mapping from Java data types to SQL data types Data query and retrieval facilities Additional features provide support for tools, annotations, auditing/versioning, horizontal partitioning, JSR 303 Bean Validation, mapping for Apache Lucene, and mapping for the .NET Framework",,,,
396,,,"A project that produces a Message Oriented Middleware (MoM) messaging system that is multi-protocol, embeddable, clustered, and asynchronous;[40] JBoss Messaging moved to this project",,,,
397,,,"A Business Process Management (BPM) suite, including a workflow engine, designed for the needs of business analysts, software developers, and end users[41]",,,,
398,,,"A WS-BPEL 2.0 engine, optimized for the JBoss Application Server container, and based on Apache ODE, JBossWS, and JBossESB[42]",,,,
399,,,A toolkit for reliable multicast communication[43],,,,
400,,,"The JBoss Transaction Service (JBossTS) is a Java Transaction API (JTA) that allows distributed transactions across multiple resources, and protects against data corruption by guaranteeing complete, accurate transactions, including web services through support of the specifications WS-Coordination, WS-AtomicTransaction, and WS-BusinessActivity;[44] Narayana is JBossTS 5",,,,
401,,,"Tools to support XATMI in Java EE, including API bindings in both C/C++ and Java for clients and services, and an XATMI broker for standalone Java applications, for XATMI clients, and to call XATMI services[45]",,,,
402,,,JBoss Web Services (JBossWS) provides support for Java EE web services with a JAX-WS implementation[46],,,,
403,,,"A Java framework for symmetric and asymmetric communication over a network, including invocations, one way messaging, and asynchronous callbacks[47]",,,,
404,,,"A Java security framework for authentication, authorization, auditing, and security mapping, and also an OASIS XACML v2.0 compliant engine[48]",,,,
405,,,"A project that addresses various identity management needs in Java[49] It is being merged into the Keycloak project.[50] Components: IDM – an object model for managing identities (Users/Groups/Roles) and associated behavior Federated Identity – support for SAML v2, WS-Trust, and OpenID AuthZ – an authorization framework for developers XACML – support for OASIS XACML v2 Negotiation – support for SPNego/Kerberos based desktop Single sign-on (SSO)",,,,
406,,,A Java Connector Architecture (JCA) container inside JBoss Application Server that allows access to an Enterprise Information System (EIS) using a standard resource adapter (a protocol adapter) provided by the EIS vendor[51],,,,
407,,,"Clustering for scalability and High Availability (HA) of JBoss Application Server, including fail-over, load-balancing, and distributed deployment[52]",,,,
408,,,"Integrated SSO and IDM for browser apps and RESTful web services. Built on top of the OAuth 2.0, Open ID Connect, JSON Web Token (JWT) and SAML 2.0 specifications[53]",,,,
409,,,A serialization and marshalling API that is an enhanced alternative to the standard java.io.Serializable and its relatives found in the Java Development Kit (JDK)[54],,,,
410,,,"A serialization API that is a faster alternative to the standard java.io.ObjectInputStream and java.io.ObjectOutputStream found in the Java Development Kit (JDK);[55] includes smart cloning, the capability of the reuse of final fields among different class loaders",,,,
411,,,A UI generation tool used to support the building of question and answer style interactions from Drools rulesets[56],,,,
412,,,"The JBoss Application Server is a Java EE application server platform for developing and deploying enterprise Java applications, web applications, and web portals[57]",,,,
413,,,"A web server that is based on Tomcat, is designed for medium and large applications, and includes Java Server Pages (JSP), Java Servlet technologies, PHP, and CGI[58]",,,,
414,,,"Data virtualization software used to access heterogeneous and distributed data stores with a uniform API[59] Components: Query engine – the core of Teiid that processes relational, XML, XQuery, and procedural queries from federated datasources Server – the runtime framework that runs inside JBoss Application Server Connectors – translators and resource adapters for access to sources that include most relational databases, web services, text files, and LDAP Tools: Teiid Designer – for description, see Teiid Designer in this table Teiid JOPR Console – to monitor, manage, and control servers Teiid AdminShell – uses scripting to support the automation of administrative and testing tasks",,,,
415,,,A project that produces an open-source VoIP platform[60] Subprojects: Mobicents JAIN SLEE Mobicents Sip Servlets Mobicents Media Server Mobicents SIP Presence Service Mobicents Diameter Mobicents SS7,,,,
416,,,Direct POJO deployment and standalone use outside the JBoss Application Server with all the features of the JMX Microkernel and direct IOC style dependency injection[61],,,,
417,,,"Relationship between Jopr and RHQ: Jopr was previously a project for the management of JBoss Application Server, but is now part of the RHQ project[62] RHQ is a systems management suite for multiple products and platforms that provides monitoring, alerting, remote operational control, and remote configuration[18]",,,,
418,,,A web-based application for managing and monitoring JBoss Application Server[63],,,,
419,,,"A JSR 283 Java Content Repository (JCR) 2.0 implementation that provides access to existing information, including files, systems, databases, other repositories, services, applications, etc. (formerly named JBoss DNA)[64]",,,,
420,,,"An umbrella project for the management and governance of the JBoss SOA Platform, dealing with the processes by which a system operates, providing for the management, monitoring and administration of those processes, and the discipline of creating policies and communicating and enforcing the policies[65] Subprojects: Guvnor – for description, see Guvnor in this table ModeShape – for description, see ModeShape in this table SAVARA – for description, see SAVARA in this table SAMM – the Service Activity Monitoring and Management (SAMM) project uses complex event processing (CEP) technology to analyze events from distributed systems and present the information in a concise form",,,,
421,,,"Governance Repository utilities and tools for governing and managing artifacts, including rule and process definitions, service descriptions, database schemas, etc.[66]",,,,
422,,,"The umbrella project for the JBoss cloud software[67] Subprojects: CirrAS – front-end, back-end, and management appliances built using BoxGrinder for cloud deployment using JBoss application server[68] SteamCannon – a cloud-aware platform as a service (PaaS) environment that acts as a broker for PaaS resources (e.g., Amazon EC2)[69] StormFolio – a set of GateIn and Fedora images for Amazon EC2; each image is an Amazon Machine Image (AMI)[70] Cantiere – a set of Rake tasks to build RPM files[71]",,,,
423,,,A set of projects for building appliances for virtualization and Cloud providers:[72] BoxGrinder Studio – a Web front-end for BoxGrinder REST (in planning) BoxGrinder REST – a RESTful API to BoxGrinder Build BoxGrinder Build – a command line tool to build appliances,,,,
424,,,"An umbrella project for Eclipse plugins and features for Java software development for JBoss Developer Studio, J2EE, and related technology, including Hibernate, JBoss Application Server, Drools, jBPM, JavaServer Faces, (X)HTML, Seam, Smooks, JBoss ESB, JBoss Portal, etc.[30]",,,,
425,,,"A visual tool for model-driven definition (including virtual databases containing views, procedures, or dynamic XML documents), integration, management and testing of data services, without programming, using the Teiid runtime framework[73]",,,,
426,,,"A test framework that can be used to perform testing inside a remote or embedded container, or deploy an archive to a container so the test can interact as a remote client; Arquillian integrates with other testing frameworks (e.g., JUnit 4, or TestNG 5), allowing the use of IDE, Ant, and Maven test plugins[74]",,,,
427,,,"An API to assemble archives (e.g., JAR, WAR, or EAR), which can then be deployed into an integration container (e.g., JBoss EmbeddedAS, GlassFish v3 Embedded, Jetty, or OpenEJB), or exported to a file, or exported to an exploded directory structure, or serialized over a network to a remote host, etc.; ShrinkWrap is the supported deployment mechanism of the Arquillian project[75]",,,,
428,,,"A test framework for JavaServer Faces (JSF) applications, with JSFUnit tests running inside a container, which allows access to managed beans, the FacesContext, EL Expressions, the internal JSF components, and the parsed HTML output[76]",,,,
429,,,"A tool that produces reports from the JAR files of a Java project or product which can be used to locate components and identify issues regarding dependencies, versions, black listed APIs, OSGi, etc.[77]",,,,
430,,,"A tool for tracing and testing of Java programs[78] Features: Insert extra Java code into an application or Java library, either as it is loaded during JVM startup or while it is running Does not require use or preparation of the source code For testing, inject faults or synchronization code in order to perform unusual or unexpected operations Uses a scripting language based on Event Condition Action (ECA) rules that specify: a trigger point – where the code should be inserted the trigger condition – a boolean expression that is evaluated when execution arrives at the trigger point the trigger action – a sequence of expression(s) to be executed if the boolean expression is true",,,,
431,,,"A language used to describe the application-level protocols used by systems to communicate, that can be used for the behavioral assurance of programs during development and validation[79] The language has three layers: the bottom layer is a type layer describing the session type the second layer is an assertion layer used to further describe the type layer the third layer is a protocol document layer used to describe multiple protocols and their constraints",,,,
432,,,"A project that provides a methodology and tools for testing so that any artifacts defined during a phase of the software lifecycle can be validated against other artifacts in preceding and subsequent phases of the lifecycle, providing assurance that the final delivered system meets the original business requirements[80]",,,,
433,,,A profiler using JVMPI and JVMTI that uses an agent written in C that logs to disk events from the JVM; the logs are accessed and analyzed using a web browser[81],,,,
434,,,A project that facilitates migration to JBoss Enterprise Platforms and JBoss Enterprise Frameworks[82] Subprojects: Migration Analysis Tool (MAT) – a tool used to estimate the effort required to migrate J2EE applications from an Oracle/BEA WebLogic environment to a JBoss Application Server / JBoss Enterprise Application Platform environment[83],,,,
435,,,"JBoss Distributed Test Framework (JBossDTF) is a testing tool used to run tests that involve multiple processes, including clients and servers, in heterogeneous environments[84]",,,,
436,,,"The focus of documentation assistance for JBoss projects, including the JBoss Documentation Guide, jDocBook Styles, help with using DocBook XML, and access to subject matter experts[85]",,,,
437,,,"A httpd-based load balancer that forwards requests to one of a set of server nodes, and using Mod-Cluster Management Protocol (MCMP), receives server-side load balance factors and lifecycle events from the server nodes[86]",,,,
438,,,A project that produces an asynchronous event-driven network application framework and tools for the development of network protocol servers and clients; a client–server framework for the development of Java applications using network programming[87],,,,
439,,,"A low-level I/O API, an improvement on New I/O (NIO), that includes blocking and non-blocking operations, multicast sockets, support for channels (e.g., SSL or virtual channels), and a callback-based interface[88]",,,,
440,,,A load-time reflective system that is a class library for editing bytecode in order to define a new class at runtime and to modify a class file before the JVM loads it[89],,,,
441,,,"A project that produces a Java framework to invoke web services as an alternative to JAX-WS, usable as a base for zero-code web service invocation[90] Components include: Wise-core – a library for web service invocation Wise-webgui – a web application used to call a generic web-service given the WSDL Logging Meta Service (LMS) – a tool used to log TCP communications in order to view request-response messages",,,,
442,,,"A tool to render DocBook content as part of a Maven build using as dependencies the DocBook distribution, custom XSLT, custom fonts, custom images, and custom css[91]",,,,
443,,,No information available[92],,,,
444,,,A tool to use JBoss Retro as part of a Maven build[93],,,,
445,,,A tool to integrate projects using Ant/Buildmagic and projects using Maven[94],,,,
446,,,A collection of Ant tasks used to build multi-module Ant projects[95],,,,
447,,,A JavaDoc doclet which extends the Java standard doclet to generate UML-like class and package diagrams for understanding the overall API structure[96],,,,
448,,,"A tool for transforming compiled bytecode from one format to another, including renaming classes, redirecting method calls, changing data types, and translating JDK 1.5 bytecode to JDK 1.4 bytecode[97]",,,,
449,,,"A Forums portlet based on JavaServer Faces (JSF), designed for use with JBoss Portal 2.X[98]",,,,
450,,,"A Wiki portlet based on the JSPWiki wikitext syntax, designed for use with JBoss Portal 2.7[99]",,,,
451,,,A web application to manage multiple feeds and aggregate information into a web interface[100],,,,
452,,,A project that was made part of the GateIn Portal project[101],,,,
453,,,A project that was made part of the GateIn Portal project[102],,,,
454,,,An enterprise asynchronous messaging system that superseded JBoss MQ as the default Java Message Service (JMS) provider in JBoss Application Server (JBoss AS) 5; this messaging project was moved to the HornetQ project[103],,,,
455,,,"JBoss Cache (JBC) implements a cache, that can be replicated and transactional, for frequently accessed Java objects to improve application performance[104]",,,,
456,,,A framework for Aspect-Oriented Programming (AOP)[105],,,,
457,,,Supports CORBA/IIOP access to enterprise beans deployed in a JBoss Application Server[106],,,,
458,,,"The project JBossMX produces an implementation of Java Management Extensions, and is the core of the JBoss microkernel architecture for JBoss Application Server[107]",,,,
459,,,A project that adds benchmarking and distributed client/server based tests to JUnit[108],,,,
460,,,A set of component libraries that provide components for JavaServer Faces (JSF) applications[109],,,,
461,,,A suite of portlets to monitor software development projects[110],,,,
462,,,"Access to repositories that support revisioning, including JSR 170 Java Content Repository (JCR), Subversion, and file-system based repositories[111]",,,,
463,,,"A filesystem-style interface to JBoss Cache that can be accessed by a WebDAV-capable client, including Windows Explorer[112]",,,,
464,,,A project that produces reporting services for enterprise applications[113],,,,
465,,,A place to exchange JSR 168 portlets and themes and layouts for use in JBoss Portal[114],,,,
466,,,A metadata maintenance tool for the browser Firefox bookmark links[115],,,,
467,,,"Messaging and collaboration software; this project moved to Buni.org in late 2006, and is now known as the Meldware Communication Suite",,,,
468,,,,,,,
469,,,,,,,
470,,,,,,,
471,,,,,,,
472,,,,,,,
473,,,,,,,
474,,,,,,,
475,,,,,,,
476,,,,,,,
477,,,,,,,
478,,,,,,,
479,,,,,,,
480,,,,,,,
481,,,,,,,
482,,,,,,,
483,,,,,,,
